first_name;last_name;number;street;birthdate;postalcode;city;phone
DANIELLE;DANIELS;781;"Shimonoseki Drive";01.04.1980;95444;Hidalgo;632316273199
PATSY;DAVIDSON;816;"Cayenne Parkway";01.04.1980;93629;Portoviejo;282874611748
JENNIFER;DAVIS;1795;"Santiago de Compostela Way";01.04.1980;18743;Laredo;860452626434
COURTNEY;DAY;300;"Junan Street";01.04.1980;81314;Uijongbu;890289150158
MARCIA;DEAN;1479;"Rustenburg Boulevard";01.04.1980;18727;Tanza;727785483194
ALVIN;DELOACH;1447;"Chatsworth Place";01.04.1980;41545;Cuauhtmoc;769370126331
RON;DELUCA;1949;"Sanya Street";01.04.1980;61244;Isesaki;132100972047
WADE;DELVALLE;1331;"Usak Boulevard";01.04.1980;61960;Lausanne;145308717464
HERMAN;DEVORE;64;"Korla Street";01.04.1980;25145;Mwanza;510383179153
EMILY;DIAZ;588;"Vila Velha Manor";01.04.1980;51540;Kimchon;333339908719
AMBER;DIXON;1029;"Dzerzinsk Manor";01.04.1980;57519;Touliu;33173584456
MARSHA;DOUGLAS;771;"Yaound Manor";01.04.1980;86768;Beira;245477603573
SEAN;DOUGLASS;614;"Pak Kret Street";01.04.1980;27796;"Addis Abeba";47808359842
LLOYD;DOWD;935;"Aden Boulevard";01.04.1980;64709;Tegal;335052544020
FREDDIE;DUGGAN;1103;"Quilmes Boulevard";01.04.1980;52137;Sullana;644021380889
SAMANTHA;DUNCAN;146;"Johannesburg Way";01.04.1980;54132;Matamoros;953689007081
ERIN;DUNN;1623;"Baha Blanca Manor";01.04.1980;81511;Ljubertsy;149981248346
JEFF;EAST;437;"Chungho Drive";01.04.1980;59489;"San Felipe de Puerto Plata";491271355190
BEN;EASTER;886;"Tonghae Place";01.04.1980;19450;Kamyin;711928348157
LEO;EBERT;1322;"Mosul Parkway";01.04.1980;95400;Dongying;268053970382
JOYCE;EDWARDS;725;"Isesaki Place";01.04.1980;74428;Jedda;876295323994
JIMMIE;EGGLESTON;505;"Madiun Boulevard";01.04.1980;97271;Wroclaw;970638808606
MELVIN;ELLINGTON;1557;"Cape Coral Parkway";01.04.1980;46875;Laohekou;368284120423
KATIE;ELLIOTT;447;"Surakarta Loop";01.04.1980;10428;Kisumu;940830176580
GRACE;ELLIS;442;"Rae Bareli Place";01.04.1980;24321;Duisburg;886636413768
JAVIER;ELROD;195;"Ilorin Street";01.04.1980;49250;NDjamna;8912935608
JARED;ELY;1003;"Qinhuangdao Street";01.04.1980;25972;Purwakarta;35533115997
KURT;EMMONS;1421;"Quilmes Lane";01.04.1980;19151;Kanazawa;135407755975
TRAVIS;ESTEP;289;"Santo Andr Manor";01.04.1980;72410;al-Qatif;214976066017
ANN;EVANS;909;"Garland Manor";01.04.1980;69367;Niznekamsk;705800322606
JOHN;FARNSWORTH;41;"El Alto Parkway";01.04.1980;56883;Parbhani;51917807050
ALEXANDER;FENNELL;231;"Kaliningrad Place";01.04.1980;57833;Bergamo;575081026569
BERTHA;FERGUSON;1367;"Yantai Manor";01.04.1980;21294;Ondo;889538496300
MELINDA;FERNANDEZ;1820;"Maring Parkway";01.04.1980;88307;"Mandi Bahauddin";99760893676
VICKI;FIELDS;68;"Molodetno Manor";01.04.1980;4662;Witten;146640639760
CINDY;FISHER;1079;"Tel Aviv-Jaffa Boulevard";01.04.1980;10885;Cuman;358178933857
MYRTLE;FLEMING;532;"Toulon Street";01.04.1980;69517;"Santiago de los Caballeros";46871694740
MAE;FLETCHER;44;"Najafabad Way";01.04.1980;61391;"Donostia-San Sebastin";96604821070
JULIA;FLORES;1926;"El Alto Avenue";01.04.1980;75543;"La Plata";846225459260
CRYSTAL;FORD;659;"Vaduz Drive";01.04.1980;49708;Ashdod;709935135487
MICHEAL;FORMAN;203;"Tambaram Street";01.04.1980;73942;Escobar;411549550611
ENRIQUE;FORSYTHE;1101;"Bucuresti Boulevard";01.04.1980;97661;Patras;199514580428
RAUL;FORTIER;1747;"Rustenburg Place";01.04.1980;51369;Chapra;442673923363
HOWARD;FORTNER;220;"Hidalgo Drive";01.04.1980;45298;Kermanshah;342720754566
PHYLLIS;FOSTER;832;"Nakhon Sawan Manor";01.04.1980;49021;Zalantun;275595571388
JACK;FOUST;1378;"Beira Loop";01.04.1980;40792;Zeleznogorsk;840957664136
JO;FOWLER;786;"Stara Zagora Way";01.04.1980;98332;Oyo;716256596301
HOLLY;FOX;435;"0 Way";01.04.1980;74750;Haldia;760171523969
JUAN;FRALEY;469;"Nakhon Sawan Street";01.04.1980;58866;Teboksary;689199636560
JOEL;FRANCISCO;287;"Cuautla Boulevard";01.04.1980;72736;Sucre;82619513349
BETH;FRANKLIN;1149;"A Corua (La Corua) Boulevard";01.04.1980;95824;Haiphong;470884141195
GLENDA;FRAZIER;1246;"Boksburg Parkway";01.04.1980;28349;Qinhuangdao;890283544295
SHANNON;FREEMAN;117;"Boa Vista Way";01.04.1980;6804;"Varanasi (Benares)";677976133614
CLAUDIA;FULLER;346;"Skikda Parkway";01.04.1980;90628;"Jalib al-Shuyukh";630424482919
GERALD;FULTZ;45;"Aparecida de Goinia Place";01.04.1980;7431;Satna;650496654258
FELIX;GAFFNEY;1059;"Yuncheng Avenue";01.04.1980;47498;Vilnius;107092893983
RANDY;GAITHER;1618;"Olomouc Manor";01.04.1980;26385;Kurgan;96846695220
CLARENCE;GAMEZ;767;"Pyongyang Drive";01.04.1980;83536;Izumisano;667736124769
FLOYD;GANDY;1088;"Ibirit Place";01.04.1980;88502;Zapopan;49084281333
JAMES;GANNON;1635;"Kuwana Boulevard";01.04.1980;52137;Hiroshima;710603868323
CAROL;GARCIA;320;"Brest Avenue";01.04.1980;43331;Kaduna;747791594069
DAVE;GARDINER;1052;"Pathankot Avenue";01.04.1980;77397;Leshan;128499386727
JOANN;GARDNER;842;"Salzburg Lane";01.04.1980;3313;Tarsus;697151428760
NELLIE;GARRETT;1964;"Gijn Manor";01.04.1980;14408;Shimoga;918119601885
PEARL;GARZA;60;"Poos de Caldas Street";01.04.1980;82338;Jodhpur;963063788669
BILL;GAVIN;1485;"Bratislava Place";01.04.1980;83183;Rockford;924663855568
RUBEN;GEARY;414;"Mandaluyong Street";01.04.1980;16370;Lublin;52709222667
JOY;GEORGE;1256;"Bislig Boulevard";01.04.1980;50598;Botosani;479007229460
VICTORIA;GIBSON;544;"Malm Parkway";01.04.1980;63502;Pemalang;386759646229
TANYA;GILBERT;647;"A Corua (La Corua) Street";01.04.1980;36971;Naju;792557457753
DUSTIN;GILLETTE;1854;"Okara Boulevard";01.04.1980;42123;Emmen;131912793873
JOE;GILLILAND;953;"Hodeida Street";01.04.1980;18841;Imus;53912826864
DENNIS;GILMAN;1443;"Mardan Street";01.04.1980;31483;Paarl;231383037471
JOSEPHINE;GOMEZ;211;"Chiayi Drive";01.04.1980;58186;Etawah;665993880048
NORMA;GONZALES;152;"Kitwe Parkway";01.04.1980;53182;Bislig;835433605312
MARTHA;GONZALEZ;269;"Cam Ranh Parkway";01.04.1980;34689;Chisinau;489783829737
ADAM;GOOCH;230;"Urawa Drive";01.04.1980;2738;Adoni;166898395731
KENNETH;GOODEN;1542;"Lubumbashi Boulevard";01.04.1980;62472;"Bat Yam";508800331065
LESLIE;GORDON;374;"Bat Yam Boulevard";01.04.1980;97700;Kilis;923261616249
DOUGLAS;GRAF;785;"Vaduz Street";01.04.1980;36170;Mexicali;895616862749
RITA;GRAHAM;1386;"Yangor Avenue";01.04.1980;80720;Toulon;449216226468
MICHELE;GRANT;798;"Cianjur Avenue";01.04.1980;76990;Yuncheng;499408708580
BRANDY;GRAVES;1944;"Bamenda Way";01.04.1980;24645;Warren;75975221996
JUDY;GRAY;1031;"Daugavpils Parkway";01.04.1980;59025;Bchar;107137400143
CHRISTOPHER;GRECO;1224;"Huejutla de Reyes Boulevard";01.04.1980;70923;Brescia;806016930576
VIRGINIA;GREEN;391;"Callao Drive";01.04.1980;34021;Toulouse;440512153169
JEANETTE;GREENE;1077;"San Felipe de Puerto Plata Place";01.04.1980;65387;Novoterkassk;812824036424
SONIA;GREGORY;1279;"Udine Parkway";01.04.1980;75860;"Benin City";195003555232
ALEX;GRESHAM;251;"Florencia Drive";01.04.1980;16119;Uruapan;118011831565
ROSS;GREY;951;"Springs Lane";01.04.1980;96115;Iligan;165164761435
LILLIAN;GRIFFIN;669;"Firozabad Loop";01.04.1980;92265;al-Ayn;412903167998
THOMAS;GRIGSBY;1191;"Sungai Petani Boulevard";01.04.1980;9668;"Kansas City";983259819766
TERRY;GRISSOM;619;"Hunuco Avenue";01.04.1980;81508;Matsue;142596392389
ARMANDO;GRUBER;869;"Shikarpur Way";01.04.1980;57380;Southport;590764256785
HARVEY;GUAJARDO;600;"Purnea (Purnia) Avenue";01.04.1980;18043;Vinh;638409958875
ERIK;GUILLEN;635;"Brest Manor";01.04.1980;40899;Bhimavaram;80593242951
TERRENCE;GUNDERSON;844;"Bucuresti Place";01.04.1980;36603;Jinzhou;935952366111
CARLA;GUTIERREZ;642;"Nador Drive";01.04.1980;3924;Bhusawal;369050085652
RAMONA;HALE;951;"Stara Zagora Manor";01.04.1980;98573;Patiala;429925609431
JESSICA;HALL;18;"Duisburg Boulevard";01.04.1980;58327;"Citt del Vaticano";998009777982
GLADYS;HAMILTON;1177;"Jelets Way";01.04.1980;3305;Ilorin;484292626944
SETH;HANNON;1759;"Niznekamsk Avenue";01.04.1980;39414;al-Manama;864392582257
DELORES;HANSEN;810;"Palghat (Palakkad) Boulevard";01.04.1980;73431;Jaroslavl;516331171356
VIOLA;HANSON;582;"Papeete Loop";01.04.1980;27722;Lapu-Lapu;569868543137
GABRIEL;HARDER;680;"A Corua (La Corua) Manor";01.04.1980;49806;Sivas;158326114853
BRYAN;HARDISON;530;"Lausanne Lane";01.04.1980;11067;Dallas;775235029633
BRENT;HARKINS;319;"Plock Parkway";01.04.1980;26101;Sultanbeyli;854259976812
ROBERTA;HARPER;927;"Barcelona Street";01.04.1980;65121;"Shahr-e Kord";951486492670
HELEN;HARRIS;419;"Iligan Lane";01.04.1980;72878;Bhopal;990911107354
WENDY;HARRISON;1107;"Nakhon Sawan Avenue";01.04.1980;75149;Nezahualcyotl;867546627903
DANA;HART;1089;"Iwatsuki Avenue";01.04.1980;35109;Kirovo-Tepetsk;866092335135
ARLENE;HARVEY;1014;"Loja Manor";01.04.1980;66851;Ambattur;460795526514
COREY;HAUSER;984;"Novoterkassk Loop";01.04.1980;28165;Gaziantep;435118527255
ARNOLD;HAVENS;1176;"Southend-on-Sea Manor";01.04.1980;81651;"Santa Rosa";236679267178
JILL;HAWKINS;1440;"Compton Place";01.04.1980;81037;Linz;931059836497
LEE;HAWKS;1661;"Abha Drive";01.04.1980;14400;Pudukkottai;270456873752
ROBIN;HAYES;1913;"Kamakura Place";01.04.1980;97287;Jelets;942570536750
SHAWN;HEATON;1337;"Mit Ghamr Avenue";01.04.1980;29810;"Nakhon Sawan";175283210378
ANDREA;HENDERSON;320;"Baiyin Parkway";01.04.1980;37307;Mahajanga;223664661973
ALBERTO;HENNING;502;"Mandi Bahauddin Parkway";01.04.1980;15992;Barcelona;618156722572
PAULINE;HENRY;261;"Saint Louis Way";01.04.1980;83401;Torren;321944036800
ANGELA;HERNANDEZ;786;"Aurora Avenue";01.04.1980;65750;Shimonoseki;18461860151
NORA;HERRERA;1587;"Loja Manor";01.04.1980;5410;Salzburg;621625204422
TRACY;HERRMANN;1074;"Sanaa Parkway";01.04.1980;22474;Loja;154124128457
CLAUDE;HERZOG;486;"Ondo Parkway";01.04.1980;35202;Benguela;105882218332
EDUARDO;HIATT;1837;"Kaduna Parkway";01.04.1980;82580;Jining;640843562301
MONICA;HICKS;1752;"So Leopoldo Parkway";01.04.1980;14014;Mukateve;252265130067
MARCUS;HIDALGO;1289;"Belm Boulevard";01.04.1980;88306;Tartu;237368926031
ANNA;HILL;127;"Purnea (Purnia) Manor";01.04.1980;79388;Alessandria;911872220378
ZACHARY;HITE;98;"Pyongyang Boulevard";01.04.1980;88749;Akron;191958435142
MATTIE;HOFFMAN;1497;"Yuzhou Drive";01.04.1980;3433;London;246810237916
MABEL;HOLLAND;51;"Laredo Avenue";01.04.1980;68146;Monywa;884536620568
PHILLIP;HOLM;102;"Chapra Drive";01.04.1980;14073;Tama;776031833752
LUCILLE;HOLMES;999;"Sanaa Loop";01.04.1980;3439;Soshanguve;918032330119
TONI;HOLT;1936;"Cuman Avenue";01.04.1980;61195;Roanoke;976798660411
HILDA;HOPKINS;1831;"Nam Dinh Loop";01.04.1980;51990;Mandaluyong;322888976727
BILLIE;HORTON;457;"Tongliao Loop";01.04.1980;56254;Inegl;880756161823
RAY;HOULE;740;"Udaipur Lane";01.04.1980;33505;Dzerzinsk;497288595103
ROSE;HOWARD;698;"Otsu Street";01.04.1980;71110;Cayenne;409983924481
WILLIE;HOWELL;1244;"Allappuzha (Alleppey) Place";01.04.1980;20657;"Vicente Lpez";991802825778
MILTON;HOWLAND;758;"Korolev Parkway";01.04.1980;75474;Vijayawada;441628280920
LAUREN;HUDSON;1740;"Le Mans Loop";01.04.1980;22853;"Le Mans";168476538960
BRANDON;HUEY;1912;"Emeishan Drive";01.04.1980;33050;Balikesir;99883471275
BONNIE;HUGHES;1942;"Ciparay Parkway";01.04.1980;82624;Cheju;978987363654
ELEANOR;HUNT;1952;"Pune Lane";01.04.1980;92150;Saint-Denis;354615066969
CHARLOTTE;HUNTER;758;"Junan Lane";01.04.1980;82639;"guas Lindas de Gois";935448624185
JEREMY;HURTADO;1133;"Rizhao Avenue";01.04.1980;2800;"Vitria de Santo Anto";600264533987
CURTIS;IRBY;432;"Garden Grove Street";01.04.1980;65630;"Richmond Hill";615964523510
FREDERICK;ISBELL;1404;"Taguig Drive";01.04.1980;87212;Tsuyama;572068624538
DANNY;ISOM;734;"Bchar Place";01.04.1980;30586;Okara;280578750435
KAREN;JACKSON;270;"Amroha Parkway";01.04.1980;29610;Osmaniye;695479687538
GEORGIA;JACOBS;954;"Kimchon Place";01.04.1980;42420;Uttarpara-Kotrung;541327526474
KATHY;JAMES;492;"Cam Ranh Street";01.04.1980;50805;Baybay;565018274456
LOUISE;JENKINS;929;"Tallahassee Loop";01.04.1980;74671;Springs;800716535041
NAOMI;JENNINGS;1884;"Shikarpur Avenue";01.04.1980;85548;Karnal;959949395183
LENA;JENSEN;1027;"Banjul Place";01.04.1980;50390;Halisahar;538241037443
OLGA;JIMENEZ;556;"Baybay Manor";01.04.1980;55802;Ogbomosho;363982224739
PATRICIA;JOHNSON;1121;"Loja Avenue";01.04.1980;17886;"San Bernardino";838635286649
KRISTIN;JOHNSTON;226;"Brest Manor";01.04.1980;2299;Sunnyvale;785881412500
BARBARA;JONES;1566;"Inegl Manor";01.04.1980;53561;Myingyan;705814003527
TIFFANY;JORDAN;804;"Elista Drive";01.04.1980;61069;Enshi;379804592943
JERRY;JORDON;124;"al-Manama Way";01.04.1980;52368;Onomichi;647899404952
JOSEPH;JOY;1354;"Siegen Street";01.04.1980;80184;"Angra dos Reis";573441801529
CHRISTIAN;JUNG;949;"Allende Lane";01.04.1980;67521;Amroha;122981120653
ALAN;KAHN;753;"Ilorin Avenue";01.04.1980;3656;Emeishan;464511145118
ELSIE;KELLEY;955;"Bamenda Way";01.04.1980;1545;Ikerre;768481779568
DENISE;KELLY;1206;"Dos Quebradas Place";01.04.1980;20207;"Rio Claro";241832790687
RHONDA;KENNEDY;1749;"Daxian Place";01.04.1980;11044;Apeldoorn;963369996279
JEROME;KENYON;1872;"Toulon Loop";01.04.1980;7939;Rancagua;928809465153
LILLIE;KIM;1736;"Cavite Place";01.04.1980;98775;Idfu;431770603551
REGINALD;KINDER;519;"Brescia Parkway";01.04.1980;69504;Madiun;793996678771
MELISSA;KING;1668;"Anpolis Street";01.04.1980;50199;Lungtan;525255540978
